user_id,movie_id,rating,title
10,166,8.0,Wojownik
10,167,8.0,Wonka
10,168,7.0,Wreck-it Ralph
10,169,7.0,Wyjazd integracyjny
10,104,7.0,Ona
10,120,7.0,Rec 1
10,170,6.0,Wędrująca ziemia
10,171,6.0,Władca Pierścieni: Drużyna Pierścienia
10,172,5.0,Władca pierścieni: Dwie wieże
10,173,5.0,Władca pierścieni: Powrót Króla
10,174,5.0,chernobyl
10,175,5.0,mordercza opona
10,176,4.0,pixele
10,177,4.0,sinister
10,178,3.0,snowpiercer
10,68,3.0,Joker
10,179,2.0,spider man - beyond the spider verse
10,180,1.0,the end of the fun***in world
10,181,1.0,
10,33,8.0,Deadpool 3
10,31,1.0,Deadpool
10,30,9.0,Dark
10,23,10.0,Charlie and the chocolate factory
10,14,7.0,Barbarzyńcy
10,182,10.0,
10,1,8.0,1670
1,181,10.0,
3,182,10.0,
3,183,10.0,
3,184,9.0,
3,185,9.0,
3,186,10.0,
4,187,7.0,
5,188,6.0,
10,189,4.0,
10,190,10.0,
